"","BankDefaultIndex","Name","regnum","DefaultType","DefaultDate","BankLocalization"
"1","1","Финчер","3486-К","ликв.","24.09.2021","Москва"
"2","2","Платина","2347","отозв.","17.09.2021","Москва"
"3","3","КС Банк","1752","отозв.","06.08.2021","Саранск (Республика Мордовия)"
"4","4","Руна-Банк","3207","отозв.","23.07.2021","Москва"
"5","5","Русское Финансовое Общество","3427-К","отозв.","23.07.2021","Москва"
"6","6","Актив Банк","2529","отозв.","25.06.2021","Саранск (Республика Мордовия)"
"7","7","Евразийский Банк","969","ликв.","25.06.2021","Москва"
"8","8","Возрождение","1439","ликв.","15.06.2021","Москва"
"9","9","Энергомашбанк","52","отозв.","09.06.2021","Санкт-Петербург"
"10","10","РФИ Банк","3351","отозв.","04.06.2021","Москва"
"11","11","ИРС","272","отозв.","28.05.2021","Москва"
"12","12","Нарат ","1902-К","отозв.","28.05.2021","Казань (Республика Татарстан)"
"13","13","Заубер Банк","1614","отозв.","28.05.2021","Санкт-Петербург"
"14","14","Красноярский Краевой Расчетный Центр","3483-К","отозв.","21.05.2021","Красноярск (Красноярский край)"
"15","15","Тексбанк ","2756","ликв.","14.05.2021","Черкесск (Карачаево-Черкесская Республика)"
"16","16","Роскосмосбанк","2989","ликв.","01.05.2021","Москва"
"17","17","Проинвестбанк","784","отозв.","23.04.2021","Пермь (Пермский край)"
"18","18","Нордеа Банк","3016","ликв.","16.04.2021","Москва"
"19","19","Интерпромбанк ","3266","отозв.","16.04.2021","Москва"
"20","20","Нейва ","1293","отозв.","16.04.2021","Екатеринбург (Свердловская область)"
"21","21","Электронный платежный сервис","3509-К","ликв.","09.04.2021","Москва"
"22","22","Нефтепромбанк","2156","отозв.","09.04.2021","Москва"
"23","23","Геобанк","2027","отозв.","02.04.2021","Москва"
"24","24","РИБ","2749-К","отозв.","02.04.2021","Москва"
"25","25","Майкопбанк","1136","отозв.","02.04.2021","Майкоп (Республика Адыгея)"
"26","26","Мегаполис ","3265","отозв.","26.03.2021","Чебоксары (Чувашская Республика)"
"27","27","ЮМК Банк","3495","отозв.","19.03.2021","Краснодар (Краснодарский край)"
"28","28","Сетевая Расчетная Палата","3332-К","отозв.","12.03.2021","Казань (Республика Татарстан)"
"29","29","Альба Альянс","2593","ликв.","12.03.2021","Москва"
"30","30","Современные Стандарты Бизнеса","3397","отозв.","12.03.2021","Москва"
"31","31","ФорБанк","2063","отозв.","12.03.2021","Москва"
"32","32","Русфинанс Банк","1792","ликв.","01.03.2021","Самара (Самарская область)"
"33","33","Банк ПСА Финанс Рус","3481","ликв.","18.02.2021","Москва"
"34","34","Вкабанк","1027","ликв.","31.12.2020","Астрахань"
"35","35","Платежный Стандарт","3530-К","отозв.","25.12.2020","Новосибирск"
"36","36","ФинТех ","3499","отозв.","11.12.2020","Москва"
"37","37","Онего","2484","отозв.","11.12.2020","Петрозаводск (Республика Карелия)"
"38","38","Евроазиатский Инвестиционный Банк","2897","отозв.","04.12.2020","Москва"
"39","39","Дом-Банк","3209","ликв.","04.12.2020","Домодедово (Московская область)"
"40","40","Международный Коммерческий Банк","2524","отозв.","13.11.2020","Москва"
"41","41","Собинбанк","1317","ликв.","28.10.2020","Москва"
"42","42","Росбизнесбанк","1405","отозв.","23.10.2020","Москва"
"43","43","Финанс Бизнес Банк","520","ликв.","19.10.2020","Москва"
"44","44","Майский","1673","отозв.","09.10.2020","Майский (Кабардино-Балкарская Республика)"
"45","45","Прохладный","874","отозв.","09.10.2020","Прохладный (Кабардино-Балкарская Республика)"
"46","46","ТЭМБР-Банк","2764","отозв.","02.10.2020","Москва"
"47","47","Московское Ипотечное Агентство","3344","ликв.","28.08.2020","Москва"
"48","48","Славянский Кредит","2960","ликв.","21.08.2020","Москва"
"49","49","Оргбанк","3312","ликв.","03.08.2020","Москва"
"50","50","Ресурс-Траст","3122","ликв.","24.07.2020","Москва"
"51","51","Центрально-Азиатский","3037","ликв.","24.07.2020","Абакан (Республика Хакасия)"
"52","52","Народный Банк","2249","отозв.","24.07.2020","Москва"
"53","53","Невастройинвест","1926","отозв.","24.07.2020","Санкт-Петербург"
"54","54","Проминвестбанк","2433","ликв.","17.07.2020","Москва"
"55","55","Кузнецкий Мост","2254","ликв.","17.07.2020","Москва"
"56","56","Народный Банк Тувы","1309","отозв.","14.07.2020","Кызыл"
"57","57","Экспресс-Волга","3085","ликв.","15.06.2020","Кострома"
"58","58","Морган Стэнли Банк","3456","ликв.","27.05.2020","Москва"
"59","59","Зенит Сочи","232","ликв.","08.05.2020","Сочи"
"60","60","Спиритбанк","2053","ликв.","08.05.2020","Тула"
"61","61","Банк Реалист","2646","ликв.","07.05.2020","Москва"
"62","62","Связь-Банк","1470","ликв.","01.05.2020","Москва"
"63","63","Объединенная Расчетная Система","3342-К","ликв.","27.04.2020","Москва"
"64","64","Московский Нефтехимический Банк","1411","ликв.","27.03.2020","Москва"
"65","65","Курскпромбанк","735","ликв.","23.03.2020","Курск"
"66","66","Апабанк","2404","отозв.","31.01.2020","Москва "
"67","67","Нижневолжский Коммерческий Банк","931","отозв.","24.01.2020","Саратов"
"68","68","Промышленно-финансовое сотрудничество","2410","отозв.","17.01.2020","Москва"
"69","69","Нэклис-Банк","1671","отозв.","10.01.2020","Москва"
"70","70","Крайинвестбанк","3360","ликв.","01.01.2020","Краснодар"
"71","71","Русь","704","ликв.","01.01.2020","Оренбург"
"72","72","Кранбанк","2271","отозв.","13.12.2019","Иваново"
"73","73","Невский Банк","1068","отозв.","13.12.2019","Санкт-Петербург"
"74","74","Вокбанк","312","ликв.","29.11.2019","Нижний Новгород"
"75","75","Старооскольский Агропромбанк","1050","отозв.","29.11.2019","Старый Оскол (Белгородская область)"
"76","76","Кредпромбанк","1165","отозв.","22.11.2019","Ярославль"
"77","77","Вест","2605-К","отозв.","22.11.2019","Москва"
"78","78","Кредитинвест","1197","отозв.","15.11.2019","Кизилюрт (Республика Дагестан)"
"79","79","Липецккомбанк","1242","ликв.","15.11.2019","Липецк"
"80","80","Девон-Кредит","1972","ликв.","15.11.2019","Альметьевск"
"81","81","Чувашкредитпромбанк","1280","отозв.","07.11.2019","Чебоксары"
"82","82","Эксперт Банк","2949","отозв.","01.11.2019","Омск"
"83","83","Данске Банк","3307","ликв.","01.11.2019","Санкт-Петербург"
"84","84","ГринКомБанк","1184","отозв.","12.09.2019","Иркутск"
"85","85","ИСБ","3010-К","ликв.","23.08.2019","Москва"
"86","86","Ассоциация","732","отозв.","29.07.2019","Нижний Новгород"
"87","87","РАМ Банк","3480","отозв.","26.07.2019","Москва"
"88","88","Жилкредит","1736","отозв.","19.07.2019","Москва"
"89","89","21 Век","3309-К","отозв.","12.07.2019","Санкт-Петербург"
"90","90","Частный Расчетно-Кассовый Центр","3420-К","отозв.","12.07.2019","Москва"
"91","91","Национальный Банк Взаимного Кредита","3214","ликв.","12.07.2019","Москва"
"92","92","Банкхаус Эрбе","1717","ликв.","10.07.2019","Москва"
"93","93","Межрегиональный промышленно-строительный банк","752","ликв.","08.07.2019","Саранск"
"94","94","Взаимодействие","1704","отозв.","06.06.2019","Новосибирск"
"95","95","Прайм Финанс","2758","отозв.","06.06.2019","Санкт-Петербург"
"96","96","ДельтаКредит","3338","ликв.","01.06.2019","Москва"
"97","97","Кемсоцинбанк","96","отозв.","31.05.2019","Кемерово"
"98","98","Балтийский Банк","128","ликв.","08.05.2019","Санкт-Петербург"
"99","99","Социнвестбанк","1132","ликв.","30.04.2019","Уфа"
"100","100","Холдинвестбанк","2837","отозв.","26.04.2019","Москва"
"101","101","Тройка-Д Банк","3431","отозв.","17.04.2019","Москва"
"102","102","Аспект","608","отозв.","12.04.2019","Москва"
